created_at,entry_id,field1
2020-08-10 14:38:52 UTC,37621,41
2020-08-10 14:39:19 UTC,37622,36
2020-08-10 14:39:45 UTC,37623,40
2020-08-10 14:40:11 UTC,37624,49
2020-08-10 14:40:37 UTC,37625,51
2020-08-10 14:41:03 UTC,37626,43
2020-08-10 14:41:29 UTC,37627,45
2020-08-10 14:41:55 UTC,37628,47
2020-08-10 14:42:21 UTC,37629,48
2020-08-10 14:42:47 UTC,37630,48
2020-08-10 14:43:12 UTC,37631,34
2020-08-10 14:43:38 UTC,37632,63
2020-08-10 14:44:04 UTC,37633,33
2020-08-10 14:44:31 UTC,37634,54
2020-08-10 14:44:47 UTC,37635,60
2020-08-10 14:45:13 UTC,37636,41
2020-08-10 14:45:38 UTC,37637,42
2020-08-10 14:46:03 UTC,37638,38
2020-08-10 14:46:29 UTC,37639,55
2020-08-10 14:46:54 UTC,37640,40
2020-08-10 14:47:19 UTC,37641,32
2020-08-10 14:47:45 UTC,37642,49
2020-08-10 14:48:10 UTC,37643,80
2020-08-10 14:48:36 UTC,37644,50
2020-08-10 14:49:01 UTC,37645,66
2020-08-10 14:49:27 UTC,37646,61
2020-08-10 14:49:53 UTC,37647,45
2020-08-10 14:50:18 UTC,37648,47
2020-08-10 14:50:45 UTC,37649,55
2020-08-10 14:51:10 UTC,37650,45
2020-08-10 14:51:35 UTC,37651,57
2020-08-10 14:52:01 UTC,37652,53
2020-08-10 14:52:27 UTC,37653,56
2020-08-10 14:52:52 UTC,37654,50
2020-08-10 14:53:19 UTC,37655,69
2020-08-10 14:53:46 UTC,37656,58
2020-08-10 14:54:11 UTC,37657,50
2020-08-10 14:54:37 UTC,37658,51
2020-08-10 14:55:03 UTC,37659,78
2020-08-10 14:55:30 UTC,37660,49
2020-08-10 14:55:55 UTC,37661,31
2020-08-10 14:56:20 UTC,37662,43
2020-08-10 14:56:47 UTC,37663,50
2020-08-10 14:57:12 UTC,37664,32
2020-08-10 14:57:38 UTC,37665,48
2020-08-10 14:58:04 UTC,37666,32
2020-08-10 14:58:29 UTC,37667,21
2020-08-10 14:58:54 UTC,37668,22
2020-08-10 14:59:22 UTC,37669,37
2020-08-10 14:59:48 UTC,37670,33
2020-08-10 15:00:15 UTC,37671,16
2020-08-10 15:00:41 UTC,37672,21
2020-08-10 15:01:07 UTC,37673,16
2020-08-10 15:01:33 UTC,37674,13
2020-08-10 15:32:18 UTC,37675,50
2020-08-15 05:23:18 UTC,37676,3
2020-09-01 00:56:45 UTC,37677,5
2020-09-01 00:57:13 UTC,37678,45
2020-09-01 00:59:23 UTC,37679,15
2020-09-01 00:59:49 UTC,37680,21
2020-09-01 01:00:14 UTC,37681,18
2020-09-01 01:00:40 UTC,37682,15
2020-09-01 01:01:07 UTC,37683,18
2020-09-01 01:01:33 UTC,37684,16
2020-09-01 01:01:59 UTC,37685,20
2020-09-01 01:02:16 UTC,37686,17
2020-09-01 01:02:41 UTC,37687,14
2020-09-01 01:03:07 UTC,37688,17
2020-09-01 01:03:33 UTC,37689,17
2020-09-01 01:03:58 UTC,37690,14
2020-09-01 01:04:24 UTC,37691,18
2020-09-01 01:04:49 UTC,37692,11
2020-09-01 01:05:14 UTC,37693,17
2020-09-01 01:05:39 UTC,37694,17
2020-09-01 01:06:05 UTC,37695,15
2020-09-01 01:06:31 UTC,37696,16
2020-09-01 01:06:57 UTC,37697,18
2020-09-01 01:07:23 UTC,37698,12
2020-09-01 01:07:49 UTC,37699,19
2020-09-01 01:08:15 UTC,37700,16
2020-09-01 01:08:41 UTC,37701,15
2020-09-01 01:09:07 UTC,37702,13
2020-09-01 01:09:34 UTC,37703,12
2020-09-01 01:09:59 UTC,37704,16
2020-09-01 01:10:26 UTC,37705,14
2020-09-01 01:10:52 UTC,37706,20
2020-09-01 01:11:17 UTC,37707,18
2020-09-01 01:11:42 UTC,37708,13
2020-09-01 01:12:08 UTC,37709,15
2020-09-01 01:12:34 UTC,37710,15
2020-09-01 01:13:00 UTC,37711,14
2020-09-01 01:13:25 UTC,37712,14
2020-09-01 01:13:51 UTC,37713,16
2020-09-01 01:14:16 UTC,37714,17
2020-09-01 01:14:37 UTC,37715,5
2020-09-01 01:15:01 UTC,37716,12
2020-09-01 01:15:27 UTC,37717,11
2020-09-01 01:15:52 UTC,37718,14
2020-09-01 01:16:16 UTC,37719,17
2020-09-01 01:16:42 UTC,37720,11
