-55.00,0.00,-65.00
-50.00,-93.00,-66.00
-41.00,-81.00,-65.00
-92.00,-70.00,-75.00
-47.00,-88.00,-66.00
-62.00,-84.00,-70.00
-45.00,-86.00,-65.00
-40.00,-93.00,-73.00
-36.00,-76.00,-72.00
-92.00,-70.00,-78.00
-54.00,-88.00,-62.00
-47.00,-88.00,-76.00
-44.00,-87.00,-65.00
-54.00,-87.00,-65.00
-61.00,-89.00,-67.00
-53.00,-89.00,-77.00
-44.00,-94.00,-70.00
-59.00,-89.00,-58.00
-36.00,-87.00,-64.00
0.00,-92.00,-74.00
-47.00,-93.00,-66.00
-45.00,-91.00,-82.00
-46.00,-90.00,-64.00
-54.00,-78.00,-66.00
-68.00,-85.00,-76.00
-92.00,-85.00,-67.00
-46.00,-91.00,-69.00
-52.00,-81.00,-65.00
0.00,-88.00,-68.00
-54.00,0.00,-66.00
-42.00,-89.00,-65.00
-51.00,-81.00,-76.00
-40.00,-77.00,-75.00
