-64.00,-69.00,-90.00
-91.00,-68.00,0.00
-89.00,-75.00,0.00
-65.00,-82.00,-83.00
-67.00,-65.00,-83.00
-66.00,-82.00,-86.00
-86.00,-64.00,-82.00
-76.00,-78.00,-81.00
-65.00,-66.00,-92.00
-92.00,-83.00,-81.00
-66.00,-77.00,-87.00
-72.00,-93.00,-94.00
-87.00,-77.00,-88.00
-63.00,-84.00,-89.00
-66.00,-62.00,-84.00
-68.00,-73.00,-86.00
-90.00,-65.00,-81.00
-92.00,-62.00,-92.00
-88.00,-73.00,-78.00
-58.00,-70.00,-92.00
-90.00,-63.00,-85.00
-69.00,-78.00,-87.00
-90.00,-67.00,-86.00
-67.00,-71.00,0.00
-92.00,-70.00,-91.00
-72.00,-71.00,-83.00
-92.00,-82.00,-82.00
-68.00,-80.00,0.00
-93.00,-78.00,0.00
-96.00,-62.00,-84.00
-76.00,-61.00,-84.00
