-52.00,-82.00,-42.00
-51.00,-77.00,-72.00
-82.00,-61.00,-67.00
-92.00,-63.00,-69.00
-90.00,-58.00,-62.00
-90.00,-57.00,-63.00
-44.00,-67.00,-57.00
0.00,-70.00,-61.00
-47.00,-70.00,-56.00
-47.00,-73.00,-84.00
-87.00,-68.00,-71.00
-86.00,-59.00,-77.00
-93.00,-68.00,-72.00
-87.00,-53.00,-76.00
-55.00,-57.00,-67.00
-49.00,-69.00,-64.00
-88.00,-79.00,-65.00
-56.00,-70.00,-53.00
-49.00,-74.00,-59.00
-43.00,-72.00,-51.00
-46.00,-65.00,-63.00
-52.00,-64.00,-72.00
-87.00,-59.00,-89.00
-87.00,-53.00,-85.00
-92.00,-57.00,-88.00
-89.00,-68.00,-76.00
-83.00,-50.00,-78.00
-47.00,-72.00,-78.00
-87.00,-67.00,-68.00
-43.00,-67.00,-63.00
-46.00,-86.00,-73.00
-52.00,-78.00,-51.00
0.00,-86.00,-61.00
-51.00,-70.00,-68.00
-86.00,-72.00,-71.00
-92.00,-58.00,-83.00
-92.00,-49.00,-88.00
